max_time, bot_name, score, ms_per_move, times_late
1, rand, 3045, 0.00645558447612, 985
1, bully, 2931, 0.00645649593667, 1023
1, rdeep, 3036, 0.00609568039378, 988
1, ml, 2988, 0.00625520798928, 1004
1, selection_basic, 3000, 0.00624552938409, 1000
2, rand, 3006, 0.00711521281863, 998
2, bully, 3018, 0.00759032670399, 994
2, rdeep, 2862, 0.00746013042041, 1046
2, ml, 2916, 0.00713991631296, 1028
2, selection_basic, 3198, 0.00644653598567, 934
5, rand, 3822, 0.00878588568639, 726
5, bully, 3681, 0.00875438402418, 773
5, rdeep, 2514, 0.00974085110976, 1162
5, ml, 2550, 0.00964447197474, 1150
5, selection_basic, 2433, 0.00999170657703, 1189
10, rand, 4751, 0.0154450160848, 135
10, bully, 5071, 0.0146318770792, 123
10, rdeep, 1530, 0.0180387550459, 1490
10, ml, 1608, 0.018939516253, 1464
10, selection_basic, 1659, 0.0183695273506, 1447
20, rand, 2034, 0.0195214151185, 5
20, bully, 2356, 0.0206775587091, 2
20, rdeep, 2358, 0.0292876606885, 542
20, ml, 1598, 0.0311583242175, 849
20, selection_basic, 2568, 0.0296213321445, 372
50, rand, 686, 0.0202308774855, 1
50, bully, 1187, 0.0206160716507, 1
50, rdeep, 2418, 0.0330762816098, 4
50, ml, 1929, 0.0316345686496, 74
50, selection_basic, 2411, 0.0333051063616, 3
100, rand, 699, 0.0205586594061, 2
100, bully, 1055, 0.0200881379132, 1
100, rdeep, 2342, 0.0329434196277, 0
100, ml, 1987, 0.0322541067291, 7
100, selection_basic, 2391, 0.0318454994358, 0
200, rand, 709, 0.0209397142816, 0
200, bully, 1069, 0.0199394833896, 0
200, rdeep, 2343, 0.0311554368794, 1
200, ml, 1964, 0.0295626390486, 3
200, selection_basic, 2320, 0.0310073715768, 0
