max_time, bot_name, score, ms_per_move, times_late
1, rand, 2340, 0.00554738986365, 720
1, bully, 2268, 0.00570790247714, 744
1, rdeep, 2154, 0.0060296928946, 782
1, ml, 2238, 0.00578065882338, 754
2, rand, 2283, 0.00626851095164, 739
2, bully, 2199, 0.0067580619708, 767
2, rdeep, 2157, 0.00662978580023, 781
2, ml, 2361, 0.00605602942883, 713
5, rand, 3210, 0.00962074308882, 373
5, bully, 3157, 0.00989731732197, 427
5, rdeep, 1164, 0.0120955193613, 1112
5, ml, 1428, 0.0114628556878, 1024
10, rand, 3248, 0.0130286360004, 10
10, bully, 3646, 0.0131589120426, 8
10, rdeep, 774, 0.0179624532131, 1242
10, ml, 762, 0.0198903892797, 1246
20, rand, 2348, 0.0173209001862, 1
20, bully, 3067, 0.0172526452031, 0
20, rdeep, 2179, 0.0278182786065, 518
20, ml, 219, 0.0321796188065, 1427
50, rand, 1013, 0.0194548573687, 0
50, bully, 1062, 0.0198442731618, 0
50, rdeep, 2059, 0.0336279420373, 4
50, ml, 1333, 0.0472552978819, 227
100, rand, 574, 0.0188810955026, 0
100, bully, 942, 0.0183708589559, 0
100, rdeep, 1889, 0.030999596225, 0
100, ml, 1685, 0.04522373043, 2
200, rand, 605, 0.0198580615025, 0
200, bully, 1003, 0.0206003815524, 0
200, rdeep, 1918, 0.0330644387744, 0
200, ml, 1666, 0.0548181861943, 4
